"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","RTCA","","Red-throated Caracara","Ibycter americanus","IBYAME","",TRUE
"","CRCA","","Crested Caracara","Caracara cheriway","CARCHE","",TRUE
"","YHCA","","Yellow-headed Caracara","Milvago chimachima","MILCHI","",TRUE
"","AMKE","","American Kestrel","Falco sparverius","FALSPA","",TRUE
"","MERL","","Merlin","Falco columbarius","FALCOL","",TRUE
"","APFA","","Aplomado Falcon","Falco femoralis","FALFEM","",TRUE
"","BAFA","","Bat Falcon","Falco rufigularis","FALRUF","",TRUE
"","OBFA","","Orange-breasted Falcon","Falco deiroleucus","FALDEI","",TRUE
"","GYRF","","Gyrfalcon","Falco rusticolus","FALRUS","",TRUE
"","PEFA","","Peregrine Falcon","Falco peregrinus","FALPER","",TRUE
"","PRFA","","Prairie Falcon","Falco mexicanus","FALMEX","",TRUE
"","PAIP","*","Painted Parakeet","Pyrrhura picta","PYRPIC","",TRUE
"","SWPA","","Sulphur-winged Parakeet","Pyrrhura hoffmanni","PYRHOF","",TRUE
"","MOPA","","Monk Parakeet","Myiopsitta monachus","MYIMON","",TRUE
"","OTPA","","Olive-throated Parakeet","Eupsittula nana","EUPNAN","",TRUE
"","OFPA","","Orange-fronted Parakeet","Eupsittula canicularis","EUPCAN","",TRUE
"","BTPA","","Brown-throated Parakeet","Eupsittula pertinax","EUPPER","",TRUE
"","BAYM","","Blue-and-yellow Macaw","Ara ararauna","ARAARA","",TRUE
"","CFMA","","Chestnut-fronted Macaw","Ara severus","ARASEV","",TRUE
"","SCMA","","Scarlet Macaw","Ara macao","ARAMAC","",TRUE
"","RAGM","","Red-and-green Macaw","Ara chloropterus","ARACHL","",TRUE
"","MIMA","","Military Macaw","Ara militaris","ARAMIL","",TRUE
"","GGMA","","Great Green Macaw","Ara ambiguus","ARAAMB","",TRUE
"","GREP","*","Green Parakeet","Psittacara holochlorus","PSIHOL","",TRUE
"","SOPA","","Socorro Parakeet","Psittacara brevipes","PSIBRE","",TRUE
